Años;Anual;      Trim.1;            Enero;            Febrero;            Marzo;      Trim.2;            Abril;            Mayo;            Junio;      Trim.3;            Julio;            Agosto;            Septiembre;      Trim.4;            Octubre;            Noviembre;            Diciembre
1990;3044;724;440;533;724;1492;998;1311;1492;1789;1660;1811;1789;3044;1951;2260;3044
1991;8144;3571;2931;3281;3571;5326;4344;4452;5326;5815;5432;5581;5815;8144;6219;6793;8144
1992;11836;8207;7991;8002;8207;9967;8783;9334;9967;9742;9960;9897;9742;11836;10430;10593;11836
1993;16179;11782;11767;11955;11782;12914;12188;12449;12914;13261;13647;14060;13261;16179;14375;14538;16179
1994;16943;16107;16581;16718;16107;15836;16313;16643;15836;14892;16729;15066;14892;16943;14943;14947;16943
1995;16644;14130;15331;14901;14130;14587;15201;14778;14587;14665;15628;15071;14665;16644;14587;14687;16644
1996;19903;16044;16423;16871;16044;18054;17025;17572;18054;16737;18918;18034;16737;19903;17346;18033;19903
1997;23201;19718;19940;19427;19718;21026;20009;21782;21026;21399;21327;21314;21399;23201;21227;21167;23201
1998;23756;21827;22052;21577;21827;23396;22285;23114;23396;22397;23174;22908;22397;23756;21193;21650;23756
1999;22838;21350;21692;21566;21350;22341;21080;21606;22341;21012;22236;21437;21012;22838;20701;20808;22838
2000;22113;20719;21419;20557;20719;21442;20545;21206;21442;21302;21267;20962;21302;22113;20563;20275;22113
2001;15831;18398;20531;20937;18398;19207;20113;19614;19207;16121;17675;16088;16121;15831;14725;13848;15831
2002;30833;23662;20459;24090;23662;25198;24281;25447;25198;25065;25099;24952;25065;30833;25966;27938;30833
2003;48952;30589;30203;30600;30589;36029;31333;34097;36029;40024;38267;40254;40024;48952;43304;45565;48952
2004;64043;50116;49734;50338;50116;56089;51651;54150;56089;56193;57341;56344;56193;64043;56626;58835;64043
2005;81613;62179;62550;61526;62179;66310;63565;65327;66310;68390;67698;68261;68390;81613;71347;73766;81613
2006;97969;77972;79442;78072;77972;84554;79408;81234;84554;86633;85663;85133;86633;97969;87971;93097;97969
2007;123142;97673;97489;98192;97673;105796;102023;102576;105796;104529;107804;104218;104529;123142;105084;106683;123142
2008;143955;114573;116261;112284;114573;122311;117817;117344;122311;127766;121948;123071;127766;143955;122490;124421;143955
2009;163459;128354;136945;132234;128354;135453;130102;133198;135453;140084;135848;135957;140084;163459;140863;142165;163459
2010;221534;153554;161014;158622;153554;165720;155722;158258;165720;174637;170154;170584;174637;221534;180293;183375;221534
2011;287483;208359;203749;203718;208359;223156;212528;217949;223156;232586;225587;231346;232586;287483;232050;240370;287483
2012;395809;263437;263505;263993;263437;298467;268466;284234;298467;310160;311844;312614;310160;395809;319520;331909;395809
2013;492096;355388;353141;354532;355388;380395;357694;364319;380395;411937;394951;399104;411937;492096;411540;416270;492096
2014;632618;441396;475081;433010;441396;479268;428878;449950;479268;506789;483832;496728;506789;632618;523478;562602;632618
2015;799273;582577;563422;559785;582577;635785;581046;603948;635785;679761;656350;665420;679761;799273;696029;760784;799273
2016;1022714;722517;763270;742701;722517;745409;703295;727599;745409;769201;746346;774418;769201;1022714;795827;846995;1022714
2017;1226162;929776;967501;910792;929776;991846;937517;943036;991846;1042820;1008172;1030414;1042820;1226162;1053791;1072844;1226162
2018;1495412;1173768;1166588;1148598;1173768;1321783;1165025;1253650;1321783;1254196;1200861;1357149;1254196;1495412;1194882;1241917;1495412
2019;1942914;1294124;1254214;1268903;1294124;1349534;1312247;1318793;1349534;1551387;1424577;1538212;1551387;1942914;1566249;1686438;1942914
2020;3363232;2172461;1906231;1951500;2172461;2742177;2364035;2589630;2742177;2971723;2811698;2880947;2971723;3363232;3035673;3072954;3363232
2021;...;...;3291811;...;...;...;...;...;...;...;...;...;...;...;...;...;...
