Años;Anual;Trimestre 1;            Enero;            Febrero;            Marzo;Trimestre 2;            Abril;            Mayo;            Junio;Trimestre 3;            Julio;            Agosto;            Septiembre;Trimestre 4;            Octubre;            Noviembre;            Diciembre
1990;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1991;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1992;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1993;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1994;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1995;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1996;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1997;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1998;14420;...;...;...;...;...;...;...;...;...;...;...;...;14420;...;...;14420
1999;15144;13463;14120;14250;13463;13981;13634;13190;13981;13099;13464;13182;13099;15144;13399;13224;15144
2000;14514;13330;14367;13684;13330;13360;13816;13237;13360;12569;13178;12928;12569;14514;12581;12936;14514
2001;14048;13168;13447;14112;13168;13339;13330;12672;13339;12740;12374;11986;12740;14048;12528;12653;14048
2002;14714;12796;12500;12915;12796;11556;12731;11548;11556;12644;12822;13258;12644;14714;12586;12966;14714
2003;19711;15083;14167;15601;15083;14777;15260;14348;14777;16087;15120;16172;16087;19711;16881;17553;19711
2004;22281;19088;19084;19630;19088;19554;19028;18878;19554;18566;18665;18454;18566;22281;19108;19737;22281
2005;29731;22705;22052;23910;22705;23479;22078;22441;23479;23574;22830;22865;23574;29731;24299;25818;29731
2006;35692;29870;29419;30699;29870;30595;30242;28143;30595;29710;30457;29654;29710;35692;30964;31891;35692
2007;47051;37137;34749;36477;37137;37251;35717;35486;37251;36883;36165;35735;36883;47051;39545;39717;47051
2008;55267;45906;42832;44120;45906;46404;45143;43621;46404;46784;45795;47023;46784;55267;44317;45706;55267
2009;61844;51421;50776;51783;51421;51617;51069;49107;51617;51293;50396;50720;51293;61844;51998;53404;61844
2010;79252;64547;58801;60941;64547;64903;59505;60717;64903;64270;63236;65200;64270;79252;67117;70556;79252
2011;94492;74764;73398;73593;74764;76038;74588;72932;76038;77377;75881;76621;77377;94492;79832;82043;94492
2012;103202;92849;86563;88364;92849;92979;92173;91680;92979;91178;90981;90590;91178;103202;91599;90388;103202
2013;116671;100792;100894;100021;100792;105930;97886;101196;105930;100799;104772;102788;100799;116671;99221;101097;116671
2014;117872;109696;108469;110737;109696;110092;108821;104564;110092;109257;110121;108524;109257;117872;103614;105041;117872
2015;123946;122939;115146;116568;122939;119174;113233;115011;119174;110289;117155;116820;110289;123946;112620;116044;123946
2016;132120;117416;121690;119706;117416;119536;115755;114296;119536;115309;117578;116412;115309;132120;118633;121956;132120
2017;145779;133399;129397;132891;133399;133239;129144;128800;133239;136098;135616;135406;136098;145779;139131;139311;145779
2018;155305;139778;140603;139778;139778;143786;139151;142629;143786;140756;143558;140471;140756;155305;140568;140392;155305
2019;162952;148266;153973;152728;148266;153111;155168;150018;153111;157044;147725;149201;157044;162952;147203;149835;162952
2020;188512;165515;156272;170447;165515;169116;160648;164889;169116;169753;169332;173518;169753;188512;174345;178680;188512
2021;...;...;186271;193372;...;...;...;...;...;...;...;...;...;...;...;...;...
