;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,28;53,55;42,02
Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,28;8,71;14,01;3,35;2,50;9,88;4,52;5,74;5,77;4,06;3,62;2,82;2,27;1,84;0,94
Brazil;;;;;;;;;;;;101,73;100,54;135,03;192,12;225,99;147,14;228,34;629,11;1.430,72;2.947,73;432,79;951,96;1.927,38;2.075,89;66,01;15,76;6,93;3,20;4,86;7,04;6,84;8,45;14,71;6,60;6,87;4,18;3,64;5,68;4,89;5,04;6,64;5,40;6,20;6,33;9,03;8,74;3,45;3,66;3,73;3,21
Chile;;20,05;77,80;352,81;504,74;374,74;211,92;91,95;40,09;33,39;35,14;19,69;9,94;27,26;19,86;30,70;19,48;19,88;14,68;17,03;26,04;21,78;15,43;12,73;11,44;8,23;7,36;6,13;5,11;3,34;3,84;3,57;2,49;2,81;1,05;3,05;3,39;4,41;8,72;0,35;1,41;3,34;3,01;1,79;4,72;4,35;3,79;2,18;2,43;2,56;3,05
Colombia;;12,06;12,03;22,60;22,58;25,19;18,92;34,09;17,51;24,20;26,58;27,52;24,70;19,49;16,36;23,97;18,85;23,31;28,14;25,86;29,14;30,35;27,03;22,44;22,85;20,90;20,80;18,46;18,68;10,87;9,22;7,97;6,35;7,13;5,90;5,05;4,29;5,55;7,00;4,20;2,27;3,42;3,17;2,02;2,90;4,99;7,51;4,31;3,24;3,53;2,52
Ecuador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,30;2,28;8,40;5,16;3,55;4,47;5,10;2,72;3,59;3,97;1,73;0,42;-0,22;0,27;-0,34
Guatemala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,56;6,82;11,36;1,86;3,86;6,21;3,78;4,34;3,42;2,39;4,45;4,42;3,75;3,70;3,21
Mexico;5,00;5,47;4,94;12,08;23,78;14,94;15,82;29,06;17,46;18,19;26,35;27,93;58,91;101,87;65,45;57,75;86,23;131,83;114,16;20,01;26,65;22,66;15,51;9,75;6,97;35,00;34,38;20,63;15,93;16,59;9,49;6,37;5,03;4,55;4,69;3,99;3,63;3,97;5,12;5,30;4,16;3,41;4,11;3,81;4,02;2,72;2,82;6,04;4,90;3,64;3,40
Paraguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,59;8,13;10,15;2,59;4,65;8,25;3,68;2,68;5,03;3,13;4,09;3,60;3,98;2,76;1,77
Peru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,37;3,66;2,81;3,24;3,55;3,59;2,80;1,32;2,14;1,83
Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,40;8,11;7,88;7,06;6,70;8,09;8,10;8,58;8,88;8,67;9,64;6,22;7,61;7,88;9,76
