;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Exchange Rates selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uruguay;Uruguay;Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Metadata by Country (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Concept;Unit;Code;Scale;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,04;0,05;0,07;0,14;0,22;0,40;0,61;1,06;2,27;3,56;4,79;6,07;8,18;10,57;12,53;13,55;15,23;15,94;16,31;18,56;36,98;43,54;40,92;34,45;36,71;33,98;37,51;30,77;30,95;30,55;29,81;32,94;35,25;41,40;39,33;40,96;45,05;51,63;60,98
;National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,02;0,04;0,06;0,10;0,18;0,29;0,48;0,80;1,59;2,76;4,26;5,50;7,22;9,63;11,57;12,99;14,20;15,50;15,96;16,96;27,52;39,51;42,51;36,15;35,42;35,92;33,10;34,78;30,60;30,49;31,11;31,13;35,32;38,23;41,92;39,76;43,50;48,71;58,52
;Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,07;0,12;0,18;0,28;0,45;0,80;1,59;2,49;3,48;4,42;5,60;7,11;8,71;10,04;10,82;11,62;12,52;14,77;27,20;29,30;26,35;24,10;24,40;21,50;24,35;19,63;20,09;19,90;19,40;21,39;24,33;29,87;29,26;28,76;32,39;37,34;42,34
;Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,03;0,06;0,10;0,15;0,23;0,36;0,62;1,17;2,02;3,02;3,94;5,04;6,35;7,97;9,44;10,47;11,34;12,10;13,32;21,26;28,21;28,70;24,48;24,07;23,47;20,95;22,57;20,06;19,31;20,31;20,48;23,25;27,33;30,16;28,68;30,73;35,26;42,01
;Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;337,13;341,98;377,97;438,00;258,25;250,66;226,80;165,17;131,91;128,91;163,78;197,89;162,85;154,20;192,80;254,27;212,73;175,49;156,05;146,19;147,70;143,31;139,49;118,33;81,44;76,92;86,63;86,42;84,34;91,15;90,86;100,00;101,41;102,33;105,51;98,77;96,32;94,73;99,14;98,50;94,36;86,31
;Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;106,27;120,40;125,48;78,11;76,26;73,54;72,33;70,20;67,25;69,37;63,05;71,74;76,90;90,75;99,07;102,58;103,61;107,22;109,11;114,54;113,46;110,69;94,01;73,63;72,45;81,08;81,72;81,39;88,24;90,08;100,00;102,07;104,80;111,09;106,77;107,47;108,47;115,01;116,75;113,15;107,77
