Fecha del pronóstico;Período futuro;E Promedio $/US$;
1q2004;1q2004 e;2,9;
2q2004;2q2004 e;2,9;
3q2004;3q2004 e;3,0;
4q2004;4q2004 e;3,0;
1q2005;1q2005 e;2,9;
2q2005;2q2005 e;2,9;
3q2005;3q2005 e;2,9;
4q2005;4q2005 e;2,9;
1q2006;1q2006 e;3,0;
2q2006;2q2006 e;3,1;
3q2006;3q2006 e;3,1;
4q2006;4q2006 e;3,1;
1q2007;1q2007 e;3,1;
2q2007;2q2007 e;3,1;
3q2007;3q2007 e;3,1;
4q2007;4q2007 e;3,2;
1q2008;1q2008 e;3,2;
2q2008;2q2008 e;3,2;
3q2008;3q2008 e;3,1;
4q2008;4q2008 e;3,2;
1q2009;1q2009 e;3,5;
2q2009;2q2009 e;3,7;
3q2009;3q2009 e;3,8;
4q2009;4q2009 e;3,9;
1q2010;1q2010 e;3,8;
2q2010;2q2010 e;3,9;
3q2010;3q2010 e;4,0;
4q2010;4q2010 e;4,0;
1q2011;1q2011 e;4,0;
2q2011;2q2011 e;4,1;
3q2011;3q2011 e;4,2;
4q2011;4q2011 e;4,3;
1q2012;1q2012 e;4,4;
2q2012;2q2012 e;4,4;
3q2012;3q2012 e;4,60;
