ARGENTINA;[A];Años;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meses;;1980;;1981;;1982;;1983;;1984;;1985;;1986;;1987;;1988;;1989;;1990;;1991;;1992;;1993;;1994;;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021
Enero;;0;/a;0;;0;;0;;0;;0;;0;;0;;0;;0;;0,7;;5,8;;10,2;;11,7;;12,5;;13,1;;13,2;;13,2;;13,3;;13,4;;13,2;;13;;13,1;;18,2;;18,7;;20,1;;22,5;;24,7;;26,7;;28,5;;30,9;;34,2;;37,5;;41,6;;47,3;;57,7;;75,2;;101,3;;127;;189,1;;286,5;;389,4
Febrero;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1,1;;7,3;;10,4;;11,8;;12,5;;13,1;;13,2;;13,3;;13,3;;13,3;;13,2;;12,9;;13,5;;18,3;;18,7;;20,3;;22,6;;24,8;;26,8;;28,7;;31,3;;34,4;;37,8;;41,8;;49;;58,6;;78;;103,8;;130,3;;196,4;;291,7;;403,5
Marzo;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2,1;;8,2;;10,6;;11,9;;12,5;;13,1;;13,1;;13,2;;13,3;;13,2;;13,1;;13;;14;;18,4;;18,9;;20,6;;22,9;;25;;27,2;;28,9;;31,6;;34,7;;38,1;;42,1;;50,2;;59,6;;80,6;;106,3;;133,5;;205,8;;302,2;;424,5
1º Trimestre;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1,3;;7,1;;10,4;;11,8;;12,5;;13,1;;13,1;;13,2;;13,3;;13,3;;13,1;;13;;13,5;;18,3;;18,8;;20,3;;22,7;;24,8;;26,9;;28,7;;31,3;;34,4;;37,8;;41,9;;48,8;;58,6;;77,9;;103,8;;130,3;;197,1;;293,5;;405,8
Abril;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2,3;;8,6;;10,8;;12;;12,5;;13,1;;13,1;;13,2;;13,3;;13,2;;13,1;;13,1;;15,5;;18,4;;19;;20,7;;23,1;;25,1;;27,4;;28,9;;31,9;;35;;38,4;;42,5;;51,1;;60,9;;85,5;/w;109,1;;136,9;;212,4;;306,4;;441,9
Mayo;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2,7;;8,8;;10,8;;12,2;;12,6;;13,1;;13,1;;13,2;;13,3;;13,2;;13;;13,1;;16,1;;18,4;;19,2;;20,8;;23,2;;25,2;;27,5;;29;;32,1;;35,3;;38,7;;42,7;;51,9;;62,3;;89,1;;110,5;;139,6;;218,9;;311,1;;456,8
Junio;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0,1;;3;;9,1;;10,9;;12,3;;12,6;;13,1;;13,1;;13,2;;13,3;;13,2;;13;;13;;16,7;;18,4;;19,3;;21;;23,3;;25,4;;27,7;;29,2;;32,4;;35,5;;39;;43,1;;52,5;;63,1;;91,9;;112;;145,1;;224,6;;317,5;;470,8
2º Trimestre;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2,7;;8,9;;10,8;;12,1;;12,6;;13,1;;13,1;;13,2;;13,3;;13,2;;13;;13;;16,1;;18,4;;19,1;;20,8;;23,2;;25,2;;27,5;;29,1;;32,1;;35,3;;38,7;;42,8;;51,8;;62,1;;88,8;;110,5;;140,5;;218,6;;311,7;;456,5
Julio;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0,2;;3,4;;9,4;;11,1;;12,3;;12,7;;13,1;;13,1;;13,2;;13,4;;13,2;;13,1;;12,9;;17,2;;18,4;;19,4;;21,2;;23,5;;25,5;;27,8;;29,3;;32,6;;35,8;;39,3;;43,5;;53,3;;64,4;;93,7;;113,9;;149,1;;229,4;;322,7;;485,3
Agosto;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0,2;;3,9;;9,5;;11,3;;12,3;;12,8;;13,1;;13,1;;13,2;;13,4;;13,1;;13;;12,9;;17,6;;18,4;;19,4;;21,3;;23,6;;25,6;;27,9;;29,6;;32,9;;36,1;;39,7;;43,9;;54;;65,6;;93,9;;115,6;;155,2;;238,3;;331,7;;497,9
