Años;Anual;      Trim.1;            Enero;            Febrero;            Marzo;      Trim.2;            Abril;            Mayo;            Junio;      Trim.3;            Julio;            Agosto;            Septiembre;      Trim.4;            Octubre;            Noviembre;            Diciembre
1990;830;...;...;...;...;...;...;...;...;...;...;...;...;830;...;...;830
1991;1039;...;...;...;...;...;...;...;...;...;...;...;...;1039;...;...;1039
1992;1236;...;...;...;...;...;...;...;...;...;...;...;...;1236;...;...;1236
1993;1417;...;...;...;...;...;...;...;...;...;...;...;...;1417;...;...;1417
1994;1890;...;...;...;...;...;...;...;...;...;...;...;...;1890;...;...;1890
1995;2333;...;...;...;...;...;...;...;...;...;...;...;...;2333;...;...;2333
1996;2580;...;...;...;...;...;...;...;...;...;...;...;...;2580;...;...;2580
1997;3061;...;...;...;...;...;...;...;...;...;...;...;...;3061;...;...;3061
1998;3276;2733;2902;2962;2733;2892;2865;2829;2892;2972;2952;3048;2972;3276;3111;3037;3276
1999;3153;2838;2914;2875;2838;2735;2813;2801;2735;2674;2774;2654;2674;3153;2786;2721;3153
2000;3287;2674;2809;2701;2674;2641;2787;2746;2641;2756;2742;2660;2756;3287;2683;2644;3287
2001;3709;2883;2835;3094;2883;2872;2825;2782;2872;2898;2960;2987;2898;3709;2992;2942;3709
2002;3908;2965;3082;3093;2965;3126;2908;3029;3126;3164;3020;3086;3164;3908;3028;3130;3908
2003;4532;3226;3359;3359;3226;3532;3260;3381;3532;3662;3612;3608;3662;4532;3812;3897;4532
2004;5258;3688;3880;3970;3688;4081;3802;3853;4081;4277;4232;4208;4277;5258;4360;4426;5258
2005;7390;4507;4675;4612;4507;4981;4792;4873;4981;5804;5302;5573;5804;7390;6360;6880;7390
2006;10563;6620;6925;6900;6620;7654;6891;7255;7654;8484;8147;8172;8484;10563;8620;9160;10563
2007;16705;10261;10130;10108;10261;11648;10483;10958;11648;13729;12111;13042;13729;16705;14085;14757;16705
2008;20588;16578;16181;16415;16578;18657;17261;18088;18657;20483;19368;19928;20483;20588;19583;19240;20588
2009;24555;18795;19808;19290;18795;19541;18565;18725;19541;20525;19733;19795;20525;24555;21634;22389;24555
2010;31822;23666;24170;24117;23666;24390;23200;24375;24390;24796;24665;24622;24796;31822;25582;26483;31822
2011;37089;30570;30610;30604;30570;31301;29949;30184;31301;32548;31420;32275;32548;37089;33250;34230;37089
2012;44297;36349;36302;36224;36349;37520;36169;36674;37520;38246;36808;37475;38246;44297;38763;39540;44297
2013;50526;41377;41719;41436;41377;42851;40593;41050;42851;42860;42115;42260;42860;50526;44062;44978;50526
2014;57946;47984;48366;48162;47984;48813;47394;47766;48813;49853;47921;48087;49853;57946;50390;52743;57946
2015;61815;53717;55834;54009;53717;54256;52526;53285;54256;52690;52142;52012;52690;61815;53727;55299;61815
2016;62812;59443;58667;60082;59443;58886;59506;60193;58886;58293;58710;58544;58293;62812;59529;59085;62812
2017;66444;59802;60953;60364;59802;59635;57918;58012;59635;61086;59339;59801;61086;66444;62342;62611;66444
2018;68426;63599;64228;63810;63599;65667;62384;63717;65667;64212;64018;64412;64212;68426;65483;65307;68426
2019;65773;66012;66506;65855;66012;65248;63325;64042;65248;65367;64920;65184;65367;65773;64943;63303;65773
2020;74110;63112;62626;61856;63112;70827;67404;70536;70827;70292;69666;70791;70292;74110;69804;69017;74110
2021;...;...;73295;...;...;...;...;...;...;...;...;...;...;...;...;...;...
