Años;Anual;      Trime.1;            Enero;            Febrero;            Marzo;      Trim.2;            Abril;            Mayo;            Junio;      Trim.3;            Julio;            Agosto;            Septiembre;      Trim.4;            Octubre;            Noviembre;            Diciembre
1990;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1991;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1992;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1993;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1994;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1995;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1996;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1997;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1998;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1999;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2000;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2001;85320;...;...;...;...;...;...;...;...;...;...;...;...;85320;...;...;85320
2002;110334;74996;76292;75680;74996;81748;76629;75674;81748;90734;85045;87908;90734;110334;91473;94598;110334
2003;112766;89823;94978;93603;89823;88466;87411;86232;88466;88451;87050;87319;88451;112766;88533;95230;112766
2004;129660;101282;101207;102858;101282;104183;101822;103074;104183;111720;104857;107417;111720;129660;111602;115140;129660
2005;146745;118561;120495;119527;118561;118793;115498;117557;118793;123970;118563;118762;123970;146745;121588;128417;146745
2006;176890;130778;131865;133094;130778;134246;129541;132963;134246;145599;135771;138653;145599;176890;147551;154441;176890
2007;235075;158399;158187;156332;158399;167145;159311;160825;167145;178380;169869;173481;178380;235075;181581;191309;235075
2008;227167;187702;193739;187698;187702;190552;190959;187522;190552;199382;189987;190996;199382;227167;193650;201859;227167
2009;254714;196166;199815;198080;196166;206492;198351;199655;206492;214466;202506;206840;214466;254714;214529;225273;254714
2010;287739;234322;231955;229540;234322;240064;233688;236231;240064;254630;241185;248096;254630;287739;255602;265054;287739
2011;292168;258418;263312;260345;258418;260500;254881;256146;260500;262524;259275;255050;262524;292168;260305;268691;292168
2012;333486;265172;266625;263701;265172;273605;266494;267180;273605;283624;273824;275497;283624;333486;281894;296880;333486
2013;354651;302534;295956;295466;302534;310760;297021;302852;310760;311800;304941;308212;311800;354651;308363;325399;354651
2014;363362;321036;323275;326389;321036;317271;320333;314796;317271;325938;313721;317893;325938;363362;324782;338309;363362
2015;347221;327929;333454;330709;327929;318619;319445;318442;318619;308942;312043;310098;308942;347221;311859;323867;347221
2016;363029;313678;321523;319262;313678;315458;316641;314365;315458;323287;313978;313376;323287;363029;322984;332706;363029
2017;383840;325271;326436;333846;325271;333582;327571;326537;333582;335224;333533;330017;335224;383840;334125;348898;383840
2018;410226;355420;347816;349603;355420;359117;359192;358130;359117;371431;356790;365720;371431;410226;362857;376199;410226
2019;447722;377381;372837;376405;377381;376631;375671;371571;376631;387562;372453;376744;387562;447722;381929;406241;447722
2020;624696;435823;404550;409908;435823;534045;471321;503444;534045;586004;546433;565321;586004;624696;590278;586503;624696
2021;...;...;581963;...;...;...;...;...;...;...;...;...;...;...;...;...;...
