Años;Anual;      Trim.1;            Enero;            Febrero;            Marzo;      Trim.2;            Abril;            Mayo;            Junio;      Trim.3;            Julio;            Agosto;            Septiembre;      Trim.4;            Octubre;            Noviembre;            Diciembre
1990;2122489;1578620;1580995;1579027;1578620;1705145;1633551;1622389;1705145;1710660;1674722;1714839;1710660;2122489;1787012;1856791;2122489
1991;2795433;1959776;1991984;1931469;1959776;2140750;1986686;2094046;2140750;2219563;2100133;2105081;2219563;2795433;2305542;2456348;2795433
1992;3941824;2620953;2571690;2567868;2620953;3084440;2895251;2895471;3084440;3008140;2995292;2976164;3008140;3941824;3130052;3305301;3941824
1993;5124837;3512713;3572328;3479771;3512713;4022728;3771406;3800470;4022728;4108352;4020704;4005320;4108352;5124837;4193613;4424638;5124837
1994;6419027;4827425;4774186;4793457;4827425;5246122;4982217;4986841;5246122;5342461;5334304;5309454;5342461;6419027;5458868;5778335;6419027
1995;7717836;5762136;5858952;5707448;5762136;6186154;5936588;5818059;6186154;6044089;6238323;6003046;6044089;7717836;6126247;6611960;7717836
1996;8992757;6873423;6672377;6618495;6873423;7150296;6794802;6680955;7150296;6967012;6838070;6649154;6967012;8992757;6938919;7204294;8992757
1997;10948010;7898137;7603124;7570263;7898137;8762584;8139835;8156582;8762584;8387941;8444990;8250301;8387941;10948010;8597940;9184106;10948010
1998;10526462;8862987;9321836;8878918;8862987;8952715;8788321;8917456;8952715;8459626;8656393;8637403;8459626;10526462;8317646;8775240;10526462
1999;12813971;8711802;9159352;8754861;8711802;9493249;8875849;9173761;9493249;9382498;9586550;9379947;9382498;12813971;9304870;9540695;12813971
2000;16720782;11751273;11542274;11508628;11751273;12723611;11901641;12400968;12723611;12613668;12919982;12606056;12613668;16720782;12603436;13746820;16720782
2001;18736950;13824368;14229159;13695407;13824368;14106570;13674854;13671007;14106570;13587654;13804962;13415218;13587654;18736950;13967215;14755733;18736950
2002;21635640;15641206;15479388;16053394;15641206;17278960;16085613;16238972;17278960;17157726;17453268;17265513;17157726;21635640;17644189;17911901;21635640
2003;24918299;18863329;19232104;18805503;18863329;19648332;19060043;18290897;19648332;19688255;19870486;19458566;19688255;24918299;20047407;20992490;24918299
2004;29113724;22520959;22474845;22049849;22520959;23035259;21398165;21391541;23035259;22606477;22145917;21935083;22606477;29113724;22578480;23765793;29113724
2005;34292648;25876369;25788360;25367144;25876369;27474901;25633493;25405330;27474901;26284305;26136578;26954446;26284305;34292648;26870133;29901343;34292648
2006;40527503;29945632;30639118;29841484;29945632;32966165;30190477;31333815;32966165;32567136;32678625;34010850;32567136;40527503;33197007;35287424;40527503
2007;45362271;35358317;36416415;36023691;35358317;36165197;36101120;35806571;36165197;36692716;35749552;35509307;36692716;45362271;38599247;38293670;45362271
2008;49095538;38489432;40005685;38826575;38489432;39373609;38823041;37468815;39373609;38726298;40011500;39099090;38726298;49095538;40286531;41488135;49095538
2009;52756330;42588328;43213754;43421033;42588328;43620544;42190037;41812443;43620544;43135464;42810847;43408395;43135464;52756330;43565512;46062579;52756330
2010;62090574;47745665;48348003;47681384;47745665;50316537;48071510;47510295;50316537;50453717;49401613;50387094;50453717;62090574;51021039;53274961;62090574
2011;68792663;56762157;55963052;56779699;56762157;57920330;55820502;55266259;57920330;58004399;57310236;58505512;58004399;68792663;59819418;63486590;68792663
2012;73233978;60245848;61868319;60901428;60245848;61894983;60717548;60178601;61894983;61228776;61813543;61446789;61228776;73233978;62835204;65458049;73233978
2013;83788541;67890175;66940278;66497787;67890175;72099060;68102135;67251510;72099060;72167682;71912259;72425988;72167682;83788541;73387572;76785347;83788541
2014;93606013;80633213;78985054;79944890;80633213;81882551;80080186;78669029;81882551;81692022;81436897;81408749;81692022;93606013;82215365;85763751;93606013
2015;103369319;88072702;88346144;86757763;88072702;90428832;85902906;85532218;90428832;90860030;89404345;91498272;90860030;103369319;91696385;96663494;103369319
2016;102042833;96155880;95752943;96837824;96155880;92154174;93588062;91080875;92154174;89592490;92865919;92855913;89592490;102042833;92606556;95333102;102042833
2017;108538743;93478902;95069788;96508392;93478902;93055392;91556369;91224401;93055392;93306612;94466796;93627848;93306612;108538743;94845193;98064981;108538743
2018;116395819;100115395;99628647;100742692;100115395;98841162;98209335;96961633;98841162;100191524;101095959;100564399;100191524;116395819;101775129;105703622;116395819
2019;127881573;108964867;107764551;108341500;108964867;110946984;108820772;107530577;110946984;114045308;112086801;113852652;114045308;127881573;114869035;120837236;127881573
2020;161069381;137992076;119463605;120475005;137992076;144845768;140447474;140321075;144845768;144404095;142363294;144405188;144404095;161069381;146843980;149347712;161069381
2021;...;...;153500259;157355051;...;...;...;...;...;...;...;...;...;...;...;...;...
