Años;Anual;      Trim.1;            Enero;            Febrero;            Marzo;      Trim.2;            Abril;            Mayo;            Junio;      Trim.3;            Julio;            Agosto;            Septiembre;      Trim.4;            Octubre;            Noviembre;            Diciembre
1990;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1991;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1992;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1993;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1994;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1995;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1996;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1997;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1998;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1999;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2000;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2001;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2002;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2003;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2004;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2005;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2006;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2007;4538;3561;5969;3757;3561;3840;3646;3834;3840;4046;3918;4040;4046;4538;4208;4385;4538
2008;8880;4989;4704;4891;4989;5333;5046;5307;5333;5549;5607;5676;5549;8880;7808;8093;8880
2009;9210;8096;8244;8082;8096;8113;8104;8154;8113;8030;8150;8201;8030;9210;8189;8623;9210
2010;10776;9256;8934;9037;9256;9351;9228;9372;9351;9795;9518;9778;9795;10776;9970;10155;10776
2011;12093;10878;10442;10540;10878;11075;10768;10892;11075;11234;11280;11332;11234;12093;11294;11248;12093
2012;14596;12444;11916;11896;12444;12424;12298;12537;12424;12542;12406;12512;12542;14596;12853;13337;14596
2013;16272;14111;14004;13992;14111;14184;14072;14500;14184;14598;14282;14460;14598;16272;14765;15002;16272
2014;18695;15839;15549;15625;15839;16276;15770;15910;16276;17247;16468;16982;17247;18695;17311;17737;18695
2015;19041;18283;18052;17848;18283;18280;18173;18158;18280;18429;18602;18772;18429;19041;18436;18482;19041
2016;22635;19534;18841;19250;19534;20217;19551;19867;20217;20794;20253;20631;20794;22635;20805;21140;22635
2017;24531;23033;21912;22194;23033;22825;22842;22706;22825;22779;22812;22993;22779;24531;23150;23657;24531
2018;25260;24427;23952;24066;24427;24057;23979;23881;24057;24092;23983;24298;24092;25260;24262;24543;25260
2019;26197;24996;24644;24901;24996;24721;24883;24695;24721;24989;24921;25034;24989;26197;25210;25363;26197
2020;28409;26319;25716;26137;26319;27401;26715;27138;27401;27283;27145;27275;27283;28409;27321;27491;28409
2021;...;...;27826;...;...;...;...;...;...;...;...;...;...;...;...;...;...
