Años;Anual;      Trim.1;            Enero;            Febrero;            Marzo;      Trim.2;            Abril;            Mayo;            Junio;      Trim.3;            Julio;            Agosto;            Septiembre;      Trim.4;            Octubre;            Noviembre;            Diciembre
1990;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1991;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1992;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1993;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1994;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1995;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1996;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1997;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1998;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1999;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2000;515036;...;...;...;...;...;...;...;...;...;...;...;...;515036;...;...;515036
2001;595193;465787;471987;465684;465787;480651;464782;464291;480651;495344;484464;486812;495344;595193;497452;519567;595193
2002;680672;561380;551103;544349;561380;571085;547653;552569;571085;569061;568048;564618;569061;680672;566380;592194;680672
2003;781949;626840;634372;624179;626840;647007;621442;630745;647007;647596;643123;645562;647596;781949;655765;688424;781949
2004;847699;713492;728568;720886;713492;759478;717096;727874;759478;735045;739365;726665;735045;847699;751352;763534;847699
2005;967882;795381;809358;802166;795381;827942;792406;791212;827942;825826;825847;816312;825826;967882;837970;859956;967882
2006;1113105;917753;913841;902961;917753;969847;928166;930642;969847;962103;963919;944207;962103;1113105;952254;1012218;1113105
2007;1243599;1043564;1040000;1028068;1043564;1066021;1020887;1023067;1066021;1091433;1055213;1062357;1091433;1243599;1063954;1100951;1243599
2008;1356503;1123251;1152411;1139501;1123251;1135304;1122623;1127992;1135304;1136660;1128116;1131521;1136660;1356503;1159223;1215378;1356503
2009;1466042;1263542;1290198;1286533;1263542;1275953;1257290;1270102;1275953;1271498;1283992;1263994;1271498;1466042;1308429;1325000;1466042
2010;1694604;1375808;1403097;1374300;1375808;1417109;1359420;1394729;1417109;1444763;1431958;1432970;1444763;1694604;1448185;1496679;1694604
2011;1938236;1598137;1589773;1591202;1598137;1652963;1601383;1592943;1652963;1743961;1639585;1640448;1743961;1938236;1723410;1756650;1938236
2012;2102633;1878183;1831291;1791853;1878183;1947537;1845798;1874975;1947537;1908261;1892029;1904117;1908261;2102633;1884520;1958339;2102633
2013;2308765;1986602;1994306;1979314;1986602;2024327;1962136;1993056;2024327;2046308;2019000;2049309;2046308;2308765;2025029;2139874;2308765
2014;2625497;2220709;2247628;2236192;2220709;2282030;2244030;2265382;2282030;2329592;2304949;2319076;2329592;2625497;2389542;2470266;2625497
2015;2995382;2601085;2623363;2606213;2601085;2666667;2629175;2645630;2666667;2702650;2716347;2712177;2702650;2995382;2748290;2780130;2995382
2016;3370533;2896329;2915311;2878372;2896329;3009037;2918141;2976051;3009037;3051657;3032515;3023137;3051657;3370533;3066300;3147179;3370533
2017;3686577;3271332;3240467;3255269;3271332;3315147;3299495;3239581;3315147;3312208;3288638;3274717;3312208;3686577;3316461;3422410;3686577
2018;3948945;3594143;3501947;3517450;3594143;3693983;3585796;3582922;3693983;3645046;3630831;3663067;3645046;3948945;3676667;3806863;3948945
2019;4198641;3769010;3789604;3766599;3769010;3808612;3753318;3793309;3808612;3811676;3774767;3862134;3811676;4198641;3805529;3986922;4198641
2020;5022687;4264060;4053356;4079548;4264060;4550751;4454931;4522678;4550751;4565083;4618263;4599250;4565083;5022687;4663482;4730674;5022687
2021;...;...;4951458;...;...;...;...;...;...;...;...;...;...;...;...;...;...
