Años;Anual;Trimestre 1;            Enero;            Febrero;            Marzo;Trimestre 2;            Abril;            Mayo;            Junio;Trimestre 3;            Julio;            Agosto;            Septiembre;Trimestre 4;Octubre;Noviembre;Diciembre
1990;490566;400120;355641;344957;400120;472927;435357;474666;472927;453705;445708;460977;453705;490566;409363;437221;490566
1991;625167;478936;428674;441447;478936;543426;523753;524181;543426;525346;521964;499057;525346;625167;540770;552870;625167
1992;803575;601509;574715;572490;601509;631891;655963;635652;631891;627289;637775;620570;627289;803575;633588;653454;803575
1993;958328;738343;672661;702688;738343;784415;837938;832805;784415;748895;826087;760276;748895;958328;779259;779672;958328
1994;1272596;947083;827172;861533;947083;957162;973929;969262;957162;971221;993087;961398;971221;1272596;1012777;1037325;1272596
1995;1539364;1211460;1151199;1174191;1211460;1255128;1247560;1253300;1255128;1187170;1224730;1193886;1187170;1539364;1199259;1194114;1539364
1996;1570673;1307886;1307623;1286536;1307886;1434923;1491483;1456328;1434923;1398157;1442348;1416630;1398157;1570673;1363449;1334849;1570673
1997;1789142;1421156;1368000;1359335;1421156;1594497;1583970;1522178;1594497;1510463;1531510;1568504;1510463;1789142;1487873;1499672;1789142
1998;1922271;1507098;1532233;1503190;1507098;1592752;1695566;1635200;1592752;1560794;1707489;1610909;1560794;1922271;1527835;1501323;1922271
1999;2103845;1588797;1592887;1529113;1588797;1503047;1569165;1555468;1503047;1517365;1528585;1453949;1517365;2103845;1505734;1550563;2103845
2000;2478222;1653835;1631302;1555687;1653835;1944718;1783633;1741774;1944718;2025989;1852990;2022344;2025989;2478222;1979899;2006022;2478222
2001;2700359;2046194;2143374;2086782;2046194;2186603;2220210;2111625;2186603;2206386;2141256;2209560;2206386;2700359;2188973;2205596;2700359
2002;2728703;2278566;2290666;2178418;2278566;2312554;2294752;2318461;2312554;2193985;2237725;2215189;2193985;2728703;2279678;2264928;2728703
2003;3788878;2660256;2478448;2502208;2660256;2917188;2890629;2900880;2917188;3044220;2950635;3091334;3044220;3788878;3104343;3035456;3788878
2004;4705777;3657963;3433532;3584565;3657963;3655781;3801424;3674031;3655781;3817441;3716287;3725441;3817441;4705777;3890639;3922512;4705777
2005;5674712;4545097;4347397;4447225;4545097;4540286;4519659;4517086;4540286;4632972;4570606;4570937;4632972;5674712;4585047;4740961;5674712
2006;6628532;5243411;5213077;5265899;5243411;5204050;5198467;5117648;5204050;5351823;5252577;5304101;5351823;6628532;5500597;5595866;6628532
2007;9179824;6678254;6134061;6226384;6678254;7287842;6804560;6932797;7287842;7570483;7279319;7501360;7570483;9179824;7639828;7971078;9179824
2008;9869843;9252423;8708431;8828514;9252423;9903087;9757753;9888801;9903087;9534518;10130490;10047036;9534518;9869843;9038181;8885331;9869843
2009;12787593;9146463;9275013;9158168;9146463;9833798;9377943;9791183;9833798;10250083;9972480;10060466;10250083;12787593;10687150;11048432;12787593
2010;14495540;12935670;12367298;12291429;12935670;12734166;13020044;12905296;12734166;13043970;12978384;12976325;13043970;14495540;13348030;13120098;14495540
2011;16170404;13697836;13675407;13576196;13697836;13632970;13812316;13692028;13632970;14014305;13758062;14062055;14014305;16170404;14108925;14139059;16170404
2012;17736133;15026112;15023454;14692214;15026112;14808173;14814661;14881541;14808173;15160857;14707710;15098232;15160857;17736133;15311977;15516462;17736133
2013;20359527;17680877;16970634;17326249;17680877;17270362;17993227;17861695;17270362;16851280;17304747;17161096;16851280;20359527;17146182;17381505;20359527
2014;22233807;18681396;18959199;18479854;18681396;18577175;18670137;18641409;18577175;19507434;18821558;19244678;19507434;22233807;19875028;19868747;22233807
2015;23061708;21436953;21682488;21219344;21436953;21649882;21608932;21690344;21649882;21063157;21712943;21301803;21063157;23061708;20877442;21086139;23061708
2016;24837187;21852536;22030833;21641608;21852536;21543441;21577290;21768791;21543441;22122045;21726327;21967538;22122045;24837187;22414539;22822584;24837187
2017;29017586;24602544;24345636;23895473;24602544;24664162;24602585;24456658;24664162;25604075;25111058;25583552;25604075;29017586;25786374;26345389;29017586
2018;30155797;28521899;27576061;27418473;28521899;27835140;28118760;28045296;27835140;27264442;27776566;27765898;27264442;30155797;26975688;27317934;30155797
2019;32499208;29276637;29438906;29105904;29276637;28177884;28561750;27896290;28177884;28865535;28471249;29021007;28865535;32499208;28708095;29066545;32499208
2020;39692317;31532046;31192291;30834387;31532046;35117304;33630194;34756322;35117304;35490286;34877766;35434542;35490286;39692317;36081488;36617044;39692317
2021;...;...;38841092;39278153;...;...;...;...;...;...;...;...;...;...;...;...;...
