;Q1 1970;Q2 1970;Q3 1970;Q4 1970;Q1 1971;Q2 1971;Q3 1971;Q4 1971;Q1 1972;Q2 1972;Q3 1972;Q4 1972;Q1 1973;Q2 1973;Q3 1973;Q4 1973;Q1 1974;Q2 1974;Q3 1974;Q4 1974;Q1 1975;Q2 1975;Q3 1975;Q4 1975;Q1 1976;Q2 1976;Q3 1976;Q4 1976;Q1 1977;Q2 1977;Q3 1977;Q4 1977;Q1 1978;Q2 1978;Q3 1978;Q4 1978;Q1 1979;Q2 1979;Q3 1979;Q4 1979;Q1 1980;Q2 1980;Q3 1980;Q4 1980;Q1 1981;Q2 1981;Q3 1981;Q4 1981;Q1 1982;Q2 1982;Q3 1982;Q4 1982;Q1 1983;Q2 1983;Q3 1983;Q4 1983;Q1 1984;Q2 1984;Q3 1984;Q4 1984;Q1 1985;Q2 1985;Q3 1985;Q4 1985;Q1 1986;Q2 1986;Q3 1986;Q4 1986;Q1 1987;Q2 1987;Q3 1987;Q4 1987;Q1 1988;Q2 1988;Q3 1988;Q4 1988;Q1 1989;Q2 1989;Q3 1989;Q4 1989;Q1 1990;Q2 1990;Q3 1990;Q4 1990;Q1 1991;Q2 1991;Q3 1991;Q4 1991;Q1 1992;Q2 1992;Q3 1992;Q4 1992;Q1 1993;Q2 1993;Q3 1993;Q4 1993;Q1 1994;Q2 1994;Q3 1994;Q4 1994;Q1 1995;Q2 1995;Q3 1995;Q4 1995;Q1 1996;Q2 1996;Q3 1996;Q4 1996;Q1 1997;Q2 1997;Q3 1997;Q4 1997;Q1 1998;Q2 1998;Q3 1998;Q4 1998;Q1 1999;Q2 1999;Q3 1999;Q4 1999;Q1 2000;Q2 2000;Q3 2000;Q4 2000;Q1 2001;Q2 2001;Q3 2001;Q4 2001;Q1 2002;Q2 2002;Q3 2002;Q4 2002;Q1 2003;Q2 2003;Q3 2003;Q4 2003;Q1 2004;Q2 2004;Q3 2004;Q4 2004;Q1 2005;Q2 2005;Q3 2005;Q4 2005;Q1 2006;Q2 2006;Q3 2006;Q4 2006;Q1 2007;Q2 2007;Q3 2007;Q4 2007;Q1 2008;Q2 2008;Q3 2008;Q4 2008;Q1 2009;Q2 2009;Q3 2009;Q4 2009;Q1 2010;Q2 2010;Q3 2010;Q4 2010;Q1 2011;Q2 2011;Q3 2011;Q4 2011;Q1 2012;Q2 2012;Q3 2012;Q4 2012;Q1 2013;Q2 2013;Q3 2013;Q4 2013;Q1 2014;Q2 2014;Q3 2014;Q4 2014;Q1 2015;Q2 2015;Q3 2015;Q4 2015;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020
Argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,28;27,10;35,44;47,35;51,82;56,28;54,12;52,17;50,43;43,89;39,80;36,38
Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,94;4,06;4,42;4,70;6,60;6,57;9,89;11,65;12,92;16,46;14,34;12,40;8,55;3,53;1,17;0,50;0,36;1,31;2,68;5,66;9,83;11,20;10,51;8,09;4,83;4,39;4,40;4,45;5,02;4,82;6,09;6,98;6,12;6,65;5,95;4,41;5,39;3,80;3,45;3,64;2,77;4,43;3,50;3,79;3,49;1,87;3,14;2,80;2,84;3,11;1,72;1,44;1,15;1,59;2,14;2,47;1,31;1,46;1,06;-0,06
Brazil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101,27;103,23;106,21;97,26;96,64;99,06;102,34;102,47;110,78;116,76;136,65;161,05;170,75;187,11;190,45;206,63;225,38;219,36;221,23;233,42;247,93;196,51;135,69;87,41;84,77;181,41;264,98;345,23;398,06;397,47;559,20;876,59;1.112,85;965,89;1.180,03;1.731,47;4.310,18;6.038,55;3.871,09;1.997,18;640,18;373,82;380,00;447,45;529,90;774,24;1.012,30;1.117,31;1.191,33;1.387,52;1.756,94;2.287,34;3.104,76;4.452,97;2.931,62;1.216,33;404,18;81,38;26,49;23,05;21,50;17,61;14,10;10,77;9,07;7,77;5,72;5,30;4,65;3,73;2,63;1,82;2,30;3,27;5,50;8,36;7,87;6,58;7,56;6,20;6,21;7,00;6,64;7,49;7,63;7,80;7,64;10,65;15,63;16,86;15,22;11,39;6,75;5,49;6,90;7,23;7,44;7,79;6,20;6,09;5,51;4,30;3,84;3,14;2,99;3,29;4,02;4,25;4,63;5,56;6,26;6,23;5,78;5,18;4,40;4,23;4,86;5,11;4,60;5,58;6,10;6,59;7,14;6,70;5,77;5,00;5,24;5,61;6,35;6,56;6,07;5,84;5,81;6,39;6,59;6,52;7,66;8,51;9,53;10,36;10,14;9,15;8,73;7,04;4,89;3,56;2,57;2,82;2,79;3,34;4,40;4,12;4,08;4,32;3,18;3,37;3,83;2,14;2,63;4,25
Chile;;;;;23,59;20,76;17,27;19,16;30,24;39,44;79,43;152,21;179,26;240,05;301,82;521,25;632,92;704,75;638,83;365,39;363,57;415,90;400,12;341,00;300,17;229,03;201,64;181,25;149,76;106,46;78,72;66,41;52,07;42,35;37,59;32,04;30,12;30,24;34,36;37,90;39,01;38,68;32,91;31,29;28,37;22,80;18,04;11,44;7,61;4,49;8,27;19,01;23,34;30,76;30,94;24,31;21,08;19,48;16,31;22,52;28,77;32,69;35,48;26,31;24,39;19,85;17,13;17,24;17,26;19,18;20,59;22,20;18,97;15,95;12,90;11,54;12,94;14,73;18,75;21,31;23,42;24,62;26,59;29,02;24,10;23,75;21,90;18,09;18,67;15,86;14,23;13,37;12,37;12,98;12,92;12,63;13,36;12,71;11,29;8,70;8,46;7,78;8,31;8,38;7,86;8,41;6,77;6,46;6,96;5,58;5,72;6,29;5,60;5,39;5,07;4,42;3,82;3,92;3,19;2,45;3,20;3,63;3,96;4,57;4,01;3,60;3,64;3,04;2,44;2,20;2,36;2,94;3,78;3,72;2,73;1,07;0,01;0,46;1,48;2,27;2,29;2,77;3,32;3,81;4,06;3,81;3,49;2,25;2,69;2,86;4,79;7,24;8,01;8,89;9,34;8,61;4,83;1,81;-1,85;-3,03;-0,26;1,19;2,25;2,47;2,92;3,30;3,12;4,01;4,15;3,10;2,64;2,18;1,47;1,27;2,11;2,30;3,42;5,05;4,90;5,48;4,37;4,18;4,75;4,10;4,65;4,21;3,49;2,83;2,75;2,30;1,66;2,02;2,00;2,16;2,81;2,77;2,30;2,63;2,46;2,83;3,70;2,93;2,68;2,88
Colombia;;;;;18,18;8,33;8,33;13,89;7,69;15,38;15,38;9,76;16,67;17,78;24,44;31,11;24,49;24,53;19,64;22,03;27,87;25,76;26,87;20,83;15,38;15,66;21,18;22,99;27,78;39,58;36,89;31,78;26,09;15,67;12,77;17,02;22,07;22,58;25,16;26,67;25,42;26,84;26,63;27,27;27,93;27,39;28,57;26,32;25,35;24,76;24,07;24,70;21,63;21,41;18,16;17,18;17,32;15,05;16,42;16,70;21,06;26,54;24,77;23,39;23,41;17,28;15,65;19,52;20,42;22,29;25,81;24,50;25,38;29,15;29,58;28,23;27,14;24,48;25,29;26,61;27,18;28,38;29,39;31,26;31,57;31,19;30,87;28,10;27,32;27,50;27,68;25,73;24,55;22,23;21,00;22,24;23,02;23,63;22,44;22,36;21,07;21,38;21,15;20,05;20,42;19,80;21,09;21,79;19,69;18,60;17,94;17,77;18,39;20,73;19,00;16,71;15,32;10,01;9,13;9,42;8,97;9,88;9,20;8,85;8,12;7,92;8,03;7,81;6,65;5,92;6,03;6,81;7,41;7,60;7,14;6,40;6,23;5,64;6,02;5,73;5,24;4,96;4,93;5,08;4,28;4,03;4,54;4,32;5,26;6,17;5,33;5,43;6,09;6,44;7,66;7,78;6,59;4,77;3,20;2,36;2,01;2,10;2,28;2,70;3,25;3,03;3,48;3,90;3,50;3,35;3,07;2,76;1,91;2,06;2,25;1,85;2,32;2,81;2,92;3,54;4,24;4,49;4,85;6,35;7,68;8,24;8,11;6,06;5,11;4,34;3,74;4,08;3,39;3,16;3,15;3,26;3,13;3,33;3,79;3,84;3,73;2,85;1,94;1,62
Ecuador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,81;3,11;3,19;3,10;2,06;1,71;2,53;2,79;5,28;9,05;9,95;9,27;7,88;5,48;3,49;3,94;4,03;3,25;3,55;3,39;3,38;4,13;4,89;5,48;5,65;5,09;5,06;4,63;3,53;2,91;2,13;2,35;2,96;3,44;4,15;3,80;3,78;4,58;4,09;3,42;2,67;1,67;1,43;1,16;0,94;0,78;0,12;-0,17;-0,15;-0,84;-0,22;0,31;0,19;0,39;0,32;0,16;-0,12;0,64;-0,73;-1,15
Guatemala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,54;7,55;6,57;4,68;6,62;5,72;6,38;8,53;8,75;12,06;13,53;11,04;6,45;2,16;-0,33;-0,51;2,61;3,78;3,99;5,05;5,04;6,19;7,30;6,30;5,04;3,88;2,95;3,30;4,13;4,40;4,45;4,39;3,63;3,21;3,52;3,32;2,40;2,50;2,05;2,60;4,30;4,29;4,64;4,55;3,93;4,13;4,77;4,86;4,33;3,93;3,50;3,26;4,24;4,70;3,06;2,83;1,60;2,02;4,01;5,21
Mexico;5,01;5,10;5,47;4,45;5,26;5,82;5,46;5,35;4,38;4,68;5,21;5,48;7,10;9,19;13,38;18,39;25,05;25,10;22,80;22,43;16,54;15,90;15,60;12,03;13,14;12,75;12,68;24,30;29,38;31,74;33,15;22,86;18,65;17,48;17,23;16,60;17,80;17,95;17,74;19,20;22,55;25,12;28,36;28,95;27,96;28,37;26,86;28,55;32,80;44,30;65,63;87,60;112,86;114,71;100,83;87,40;72,97;67,85;63,32;60,38;59,37;54,98;55,80;60,60;66,66;77,00;91,49;103,11;109,40;124,31;134,20;148,38;177,44;147,75;107,35;66,81;26,87;18,43;16,99;18,69;23,49;25,15;27,97;29,60;26,53;24,34;20,98;19,47;17,35;16,25;15,45;13,22;10,89;9,99;9,60;8,62;7,26;6,93;6,75;6,94;15,01;33,77;41,66;48,71;48,01;34,13;30,54;28,14;25,50;21,29;19,21;17,22;15,30;15,13;15,61;17,56;18,60;17,87;16,48;13,70;10,55;9,54;9,02;8,91;7,46;6,88;5,98;5,22;4,75;4,77;5,25;5,34;5,44;4,74;4,07;3,97;4,32;4,29;4,79;5,34;4,40;4,51;3,97;3,10;3,70;3,13;3,54;4,14;4,10;3,97;3,99;3,81;3,89;4,92;5,48;6,18;6,18;5,96;5,14;3,98;4,75;3,96;3,67;4,25;3,46;3,30;3,37;3,50;3,88;3,87;4,59;4,11;3,69;4,46;3,44;3,65;4,16;3,59;4,15;4,18;3,07;2,94;2,61;2,27;2,69;2,56;2,78;3,24;4,98;6,10;6,48;6,59;5,31;4,57;4,91;4,82;4,10;4,21;3,31;2,94;3,39;2,77;3,90;3,52
Paraguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,17;9,24;7,98;10,01;7,87;6,71;9,50;8,41;10,54;12,28;10,92;7,07;4,51;2,04;1,66;2,21;3,29;4,78;4,32;6,19;9,20;9,35;9,00;5,57;4,05;3,68;3,18;3,81;2,33;1,39;2,84;4,17;5,15;6,58;4,68;3,75;3,10;2,60;3,74;3,08;5,01;4,22;3,20;3,93;2,34;3,32;4,06;4,68;4,32;3,83;3,99;3,77;2,61;3,22;2,81;2,39;2,57;1,05;1,43;2,02
Peru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,35;3,10;3,47;4,53;4,21;4,07;3,52;2,85;2,64;2,52;3,12;2,95;3,40;3,51;2,92;3,16;2,96;3,31;3,84;4,08;4,46;3,60;3,01;3,33;3,44;3,15;2,99;1,65;0,93;0,95;1,32;2,07;2,13;2,54;2,00;1,88;1,87;1,70;1,79;1,95
