;Q1 1969;Q2 1969;Q3 1969;Q4 1969;Q1 1970;Q2 1970;Q3 1970;Q4 1970;Q1 1971;Q2 1971;Q3 1971;Q4 1971;Q1 1972;Q2 1972;Q3 1972;Q4 1972;Q1 1973;Q2 1973;Q3 1973;Q4 1973;Q1 1974;Q2 1974;Q3 1974;Q4 1974;Q1 1975;Q2 1975;Q3 1975;Q4 1975;Q1 1976;Q2 1976;Q3 1976;Q4 1976;Q1 1977;Q2 1977;Q3 1977;Q4 1977;Q1 1978;Q2 1978;Q3 1978;Q4 1978;Q1 1979;Q2 1979;Q3 1979;Q4 1979;Q1 1980;Q2 1980;Q3 1980;Q4 1980;Q1 1981;Q2 1981;Q3 1981;Q4 1981;Q1 1982;Q2 1982;Q3 1982;Q4 1982;Q1 1983;Q2 1983;Q3 1983;Q4 1983;Q1 1984;Q2 1984;Q3 1984;Q4 1984;Q1 1985;Q2 1985;Q3 1985;Q4 1985;Q1 1986;Q2 1986;Q3 1986;Q4 1986;Q1 1987;Q2 1987;Q3 1987;Q4 1987;Q1 1988;Q2 1988;Q3 1988;Q4 1988;Q1 1989;Q2 1989;Q3 1989;Q4 1989;Q1 1990;Q2 1990;Q3 1990;Q4 1990;Q1 1991;Q2 1991;Q3 1991;Q4 1991;Q1 1992;Q2 1992;Q3 1992;Q4 1992;Q1 1993;Q2 1993;Q3 1993;Q4 1993;Q1 1994;Q2 1994;Q3 1994;Q4 1994;Q1 1995;Q2 1995;Q3 1995;Q4 1995;Q1 1996;Q2 1996;Q3 1996;Q4 1996;Q1 1997;Q2 1997;Q3 1997;Q4 1997;Q1 1998;Q2 1998;Q3 1998;Q4 1998;Q1 1999;Q2 1999;Q3 1999;Q4 1999;Q1 2000;Q2 2000;Q3 2000;Q4 2000;Q1 2001;Q2 2001;Q3 2001;Q4 2001;Q1 2002;Q2 2002;Q3 2002;Q4 2002;Q1 2003;Q2 2003;Q3 2003;Q4 2003;Q1 2004;Q2 2004;Q3 2004;Q4 2004;Q1 2005;Q2 2005;Q3 2005;Q4 2005;Q1 2006;Q2 2006;Q3 2006;Q4 2006;Q1 2007;Q2 2007;Q3 2007;Q4 2007;Q1 2008;Q2 2008;Q3 2008;Q4 2008;Q1 2009;Q2 2009;Q3 2009;Q4 2009;Q1 2010;Q2 2010;Q3 2010;Q4 2010;Q1 2011;Q2 2011;Q3 2011;Q4 2011;Q1 2012;Q2 2012;Q3 2012;Q4 2012;Q1 2013;Q2 2013;Q3 2013;Q4 2013;Q1 2014;Q2 2014;Q3 2014;Q4 2014;Q1 2015;Q2 2015;Q3 2015;Q4 2015;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020
Argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103,81;110,45;115,58;121,71;130,05;140,38;156,55;179,35;197,44;219,39;241,27;272,91;297,02;315,67;337,30;372,19
Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,27;50,63;51,17;51,71;52,25;52,68;53,43;54,14;55,70;56,15;58,71;60,45;62,89;65,39;67,13;67,95;68,27;67,70;67,92;68,29;68,52;68,59;69,74;72,15;75,25;76,27;77,06;77,98;78,89;79,62;80,45;81,45;82,84;83,46;85,35;87,14;87,91;89,00;90,43;90,99;92,65;92,39;93,54;94,30;95,21;96,48;96,82;97,87;98,54;98,28;99,86;100,61;101,34;101,34;101,58;102,06;102,50;102,95;103,76;104,58;103,85;104,45;104,86;104,52
Brazil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,03;0,05;0,08;0,10;0,15;0,26;0,50;0,91;1,66;3,17;6,47;13,49;30,74;75,66;207,50;614,17;932,05;995,96;1.046,16;1.113,97;1.178,95;1.225,57;1.271,05;1.310,18;1.345,17;1.357,54;1.386,29;1.411,94;1.422,16;1.429,56;1.450,72;1.464,67;1.459,49;1.455,58;1.484,13;1.512,53;1.539,78;1.577,29;1.600,97;1.612,09;1.656,22;1.675,11;1.700,42;1.724,90;1.766,12;1.800,61;1.830,11;1.859,52;1.900,97;1.992,29;2.116,20;2.173,01;2.190,21;2.219,30;2.259,10;2.292,32;2.341,31;2.379,85;2.427,26;2.470,99;2.486,58;2.524,73;2.561,00;2.577,14;2.581,95;2.604,04;2.637,52;2.661,94;2.685,79;2.714,82;2.759,76;2.809,95;2.853,95;2.884,02;2.919,35;2.955,40;2.979,58;3.006,08;3.061,34;3.106,30;3.116,54;3.173,84;3.248,16;3.311,07;3.338,96;3.386,60;3.435,46;3.476,71;3.513,93;3.576,53;3.653,70;3.704,94;3.727,32;3.785,43;3.865,86;3.941,79;3.972,86;4.032,10;4.161,93;4.277,39;4.351,29;4.449,86;4.584,11;4.668,62;4.731,09;4.763,33;4.808,40;4.834,71;4.852,59;4.897,54;4.942,72;4.996,00;5.066,17;5.099,09;5.144,44;5.211,67;5.227,32;5.271,03;5.341,55;5.323,01;5.364,61;5.495,08
Chile;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,03;0,04;0,06;0,08;0,12;0,20;0,28;0,36;0,48;0,67;0,86;1,02;1,20;1,37;1,53;1,69;1,82;1,96;2,11;2,24;2,37;2,55;2,83;3,08;3,29;3,53;3,76;4,05;4,22;4,34;4,44;4,51;4,54;4,53;4,81;5,37;5,60;5,93;6,29;6,67;6,79;7,08;7,32;8,18;8,74;9,40;9,92;10,33;10,87;11,27;11,61;12,11;12,75;13,43;14,01;14,80;15,16;15,57;15,81;16,50;17,12;17,86;18,78;20,02;21,14;22,26;23,77;25,83;26,23;27,55;28,98;30,50;31,13;31,92;33,10;34,58;34,98;36,06;37,37;38,95;39,65;40,64;41,59;42,34;43,00;43,80;45,05;45,89;46,39;47,48;48,10;48,86;49,61;50,13;50,85;51,93;52,39;52,84;53,43;54,23;54,39;54,91;55,13;55,56;56,13;56,90;57,31;58,10;58,37;58,95;59,40;59,87;59,80;60,25;60,80;61,63;62,06;62,49;62,46;62,28;62,06;62,78;63,38;63,70;63,49;64,51;65,49;66,13;66,07;66,97;67,77;67,61;67,84;68,89;71,02;72,50;73,28;75,01;77,65;78,74;76,82;76,37;76,21;76,36;76,62;77,28;77,92;78,25;78,86;79,83;80,35;81,39;82,13;82,30;82,47;83,16;83,34;83,35;84,21;85,08;86,19;87,56;88,33;89,74;89,96;91,22;92,53;93,41;94,14;95,06;95,76;96,06;96,74;97,25;97,35;98,00;98,67;99,35;100,09;100,71;100,94;101,96;102,56;103,56;104,67;104,95;105,31;106,55
Colombia;;;;;0,11;0,12;0,12;0,12;0,13;0,13;0,13;0,14;0,14;0,15;0,15;0,15;0,16;0,18;0,19;0,20;0,20;0,22;0,22;0,24;0,26;0,28;0,28;0,29;0,30;0,32;0,34;0,36;0,38;0,45;0,47;0,47;0,48;0,52;0,53;0,55;0,59;0,63;0,66;0,70;0,74;0,80;0,84;0,89;0,95;1,02;1,08;1,12;1,19;1,28;1,34;1,40;1,44;1,55;1,58;1,64;1,69;1,78;1,84;1,91;2,05;2,26;2,30;2,36;2,53;2,65;2,66;2,82;3,05;3,24;3,35;3,51;3,82;4,18;4,34;4,50;4,86;5,20;5,43;5,69;6,18;6,68;7,03;7,47;8,13;8,76;9,20;9,57;10,35;11,17;11,75;12,04;12,89;13,66;14,21;14,71;15,85;16,88;17,40;18,00;19,19;20,49;21,08;21,61;23,11;24,55;25,53;26,32;27,66;29,12;30,11;31,00;32,75;35,15;35,83;36,18;37,77;38,67;39,10;39,59;41,15;42,49;42,70;43,09;44,49;45,86;46,13;46,46;47,45;48,57;48,91;49,62;50,97;52,26;52,40;52,80;54,14;55,21;55,55;55,82;56,98;57,95;58,29;58,66;59,42;60,29;60,94;61,19;62,54;64,01;64,19;64,51;66,35;68,13;69,10;69,53;70,72;71,37;71,32;71,17;72,14;72,87;72,94;73,09;74,49;75,08;75,48;75,94;77,09;77,60;77,80;78,04;78,57;79,20;79,55;79,48;80,39;81,42;81,88;82,29;83,80;85,08;85,85;87,51;90,23;92,09;92,81;92,82;94,85;96,08;96,28;96,61;98,06;99,12;99,31;99,76;101,13;102,43;103,08;103,59;104,90;105,34;105,07;105,26
Ecuador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67,30;68,14;68,20;68,88;69,87;70,26;70,38;71,01;71,30;71,47;72,16;73,00;75,07;77,94;79,34;79,77;80,99;82,21;82,11;82,91;84,25;84,88;85,03;85,72;87,10;88,39;89,19;90,42;92,02;92,89;93,71;94,60;95,26;95,58;95,70;96,83;98,08;98,87;99,67;100,51;101,79;103,40;103,75;103,94;104,51;105,12;105,23;105,15;105,49;105,95;105,36;104,97;105,33;105,06;105,13;105,30;105,54;105,47;105,47;105,47;105,41;106,15;104,69;104,26
Guatemala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71,04;72,28;73,79;75,61;76,40;77,74;78,64;79,15;81,46;82,19;83,65;85,90;88,59;92,10;94,97;95,39;94,30;94,09;94,65;94,90;96,76;97,65;98,43;99,69;101,64;103,69;105,62;105,97;106,77;107,72;108,73;109,47;111,18;112,45;113,58;114,28;115,21;116,06;117,58;118,07;117,97;118,97;119,99;121,14;123,05;124,07;125,56;126,66;127,88;129,20;131,54;132,81;133,42;134,28;136,15;137,14;139,09;140,58;140,31;141,03;141,31;143,43;145,93;148,37
Mexico;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,05;0,05;0,06;0,06;0,06;0,07;0,07;0,08;0,08;0,09;0,10;0,12;0,15;0,19;0,22;0,25;0,28;0,33;0,37;0,41;0,45;0,52;0,57;0,63;0,72;0,87;1,02;1,22;1,47;1,83;2,28;2,85;3,65;5,07;5,65;5,90;6,09;6,43;6,69;6,91;7,22;7,94;8,37;8,84;9,36;10,05;10,41;10,69;11,18;11,79;12,10;12,35;12,66;13,07;13,31;13,53;13,75;14,02;14,23;14,45;14,71;16,13;19,04;20,46;21,87;23,87;25,54;26,71;28,03;29,95;30,97;31,84;32,85;34,54;35,66;36,81;38,62;40,96;42,03;42,88;43,91;45,28;46,05;46,75;47,83;48,66;49,21;49,55;50,33;50,97;51,56;52,15;53,01;53,74;54,00;54,27;55,12;56,06;56,32;56,87;58,06;58,53;58,86;59,13;59,86;60,69;60,70;61,22;62,34;63,18;63,11;63,66;64,72;65,64;66,21;67,15;68,72;69,69;70,16;70,60;71,45;73,00;72,94;73,19;74,49;75,53;75,34;75,66;77,09;78,46;78,26;79,13;80,26;81,36;81,74;81,85;83,20;84,74;84,67;85,24;86,67;87,34;87,16;87,47;88,65;89,69;89,39;89,91;91,52;94,16;94,84;95,74;97,56;99,15;99,18;100,44;102,25;103,22;103,35;103,77;105,26;106,72;106,22;107,81;108,97
Paraguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,95;51,56;52,20;54,01;55,53;56,32;56,37;59,41;59,90;60,10;61,73;64,41;66,22;67,48;68,47;68,97;69,20;68,86;69,61;70,49;71,48;72,15;72,62;74,85;78,06;78,90;79,15;79,02;81,22;81,80;81,67;82,03;83,11;82,94;83,99;85,45;87,38;88,39;87,92;88,65;90,09;90,69;91,21;91,38;94,61;94,52;94,13;94,97;96,82;97,66;97,96;99,42;101,00;101,40;101,87;103,17;103,63;104,67;104,73;105,63;106,30;105,77;106,23;107,77
Peru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100,71;101,28;102,07;102,06;103,08;104,42;105,61;106,68;107,42;108,67;109,33;109,72;110,26;111,41;112,74;112,96;114,01;115,32;116,02;116,53;117,38;119,14;120,47;121,28;122,61;123,42;124,10;125,32;126,83;127,31;127,81;127,38;128,01;128,52;129,50;130,01;130,74;131,78;132,10;132,46;133,18;134,02;134,46;135,04
