Inflation rate, end of period consumer prices (Annual percent change);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Argentina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,7;-1,8;-0,7;-1,5;41;3,7;6,1;12,3;9,8;8,5;7,2;7,7;10,9;9,5;10,8;10,9;23,9;no data;no data;24,8;47,6;53,8;36,1;no data;no data;no data;no data;no data;no data
Bolivia;23,9;25,1;296,8;328,4;2177,3;8170,5;64,6;10,7;21,5;16,6;18;15,4;10,5;9,3;8,5;12,6;7,9;6,7;4,4;3,1;3,4;0,9;2,4;3,9;4,6;4,9;3;11,7;11,8;0,3;7,2;6,9;4,5;6,5;5,2;3;4;2,7;1,5;1,5;0,7;6,2;2,6;3,5;3,5;3,5;0,3
Brazil;no data;95,7;104,8;164;215,3;242,2;79,7;363,4;980,2;1972,9;1621;472,7;1119,1;2477,1;916,4;22,4;9,6;5,2;1,7;8,9;6;7,7;12,5;9,3;7,6;5,7;3,1;4,5;5,9;4,3;5,9;6,5;5,8;5,9;6,4;10,7;6,3;2,9;3,7;4,3;4,5;4,5;3,5;3,2;3,2;3,2;3,2
Chile;31,2;11,2;20,7;23,4;23,6;26,8;17,3;21,1;12,3;21,2;27,2;18,8;12,9;12,5;9,2;8,3;6,7;6;4,7;2,3;4,6;2,7;2,9;1,1;2,4;3,7;2,6;7,9;7,1;-1,5;2,9;4,4;1,5;3,1;4,7;4,4;2,7;2,3;2,1;3;2,9;3;3;3;3;3;3
Colombia;25,9;27,5;23,3;16,8;18,6;22,7;20,6;24,2;28,3;26,3;32,4;26,9;25,2;22,6;22,6;19,4;21,5;17,5;16,5;9;8,5;7,5;6,8;6,4;5,5;4,8;4,5;5,7;7,6;1,9;3,1;3,7;2,4;2;3,7;6,8;5,7;4,1;3,1;3,8;1,6;2,5;2,6;2,7;2,8;2,9;3
Ecuador;13,5;17,3;24,4;52,5;25,1;24,4;27,3;32,5;85,7;54,2;49,5;49;60,2;32;25,4;22,8;25,5;30,7;43,4;60,7;91;22,4;9,4;6,1;1,9;3,1;2,9;3,3;8,8;4,3;3,3;5,4;4,2;2,7;3,7;3,4;1,1;-0,2;0,3;-0,1;-0,9;2,1;1,9;1,1;1;1;1
Guatemala;9;8,8;-2,1;7,2;7,2;27,9;21,5;9,3;12,3;20,2;59,8;10;14,2;11,6;11,6;8,6;10,8;7,1;7,5;4,9;5,1;8,9;6,3;5,9;9,2;8,6;5,8;8,7;9,4;-0,3;5,4;6,2;3,4;4,4;2,9;3,1;4,2;5,7;2,3;3,4;4,8;4,5;3,6;3,7;3,8;3,9;4
Mexico;no data;27,4;98,9;80,7;59,2;63,7;105,8;159,2;51,7;19,7;29,9;18,8;11,9;8;7,1;52;27,7;15,7;18,6;12,3;9;4,4;5,7;4;5,2;3,3;4,1;3,8;6,5;3,6;4,4;3,8;3,6;4;4,1;2,1;3,4;6,8;4,8;2,8;3,2;3,4;3,1;3;3;3;3
Paraguay;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;44,1;11,8;17,8;20,4;18,3;10,5;8,2;6,2;14,6;5,4;8,6;8,4;14,6;9,3;2,8;9,9;12,5;6;7,5;1,9;7,2;4,9;4;3,7;4,2;3,1;3,9;4,5;3,2;2,8;2,2;3,2;3,2;3,2;3,2;3,2;3,2
Peru;no data;no data;72,9;125,1;111,5;158,3;62,9;114,5;1722,1;2775,3;7649,7;139,2;56,7;39,5;15,4;10,2;11,8;6,5;6;3,7;3,7;-0,1;1,5;2,5;3,5;1,5;1,1;3,9;6,7;0,2;2,1;4,7;2,6;2,9;3,2;4,4;3,2;1,4;2,2;1,9;2;2;2;2;2;2;2
Uruguay;42,8;29,4;20,5;51,5;66,1;83;70,7;57,3;69;89,2;129;81,4;58,9;52,9;44,1;35,4;24,3;15,2;8,6;4,2;5;3,6;26;10,2;7,6;4,9;6,4;8,5;9,2;5,9;6,9;8,6;7,5;8,5;8,3;9,4;8,1;6,6;8;8,8;9,4;7,5;6;4,7;4;4;4
