Inflation rate, average consumer prices (Annual percent change);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Argentina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,9;-1,2;-0,9;-1,1;25,9;13,4;4,4;9,6;10,9;8,8;8,6;6,3;10,5;9,8;10;10,6;no data;no data;no data;25,7;34,3;53,5;42;no data;no data;no data;no data;no data;no data
Bolivia;47,1;32,1;123,6;275,6;1281,3;11749,6;273,3;14,6;16;15,2;17,1;21,4;13;8,5;7,9;10,2;12,4;4,7;7,7;2,2;4,6;1,6;0,9;3,3;4,4;5,4;4,3;6,7;14;3,3;2,5;9,9;4,5;5,7;5,8;4,1;3,6;2,8;2,3;1,8;0,9;3,9;3,7;3,5;3,5;3,5;3,5
Brazil;90,2;101,7;100,6;135;192,1;226;147,1;228,3;629,1;1430,7;2947,7;432,8;952;1927,4;2075,8;66;15,8;6,9;3,2;4,9;7;6,8;8,4;14,7;6,6;6,9;4,2;3,6;5,7;4,9;5;6,6;5,4;6,2;6,3;9;8,7;3,4;3,7;3,7;3,2;4,6;4;3,1;3,3;3,2;3,3
Chile;35,1;19,7;9,9;27,3;19,9;30,7;19,5;19,9;14,7;17;26;21,8;15,5;12,7;11,5;8,2;7,4;6,1;5,1;3,3;3,8;3,6;2,5;2,8;1,1;3,1;3,4;4,4;8,7;1,5;1,4;3,3;3;1,8;4,7;4,3;3,8;2,2;2,3;2,3;3;3,1;3;3;3;3;3
Colombia;25,9;27,4;24,9;19,5;16,3;23,9;18,8;23,3;28,1;25,9;29,1;30,3;27;22,4;22,9;20,9;20,8;18,5;18,7;10,9;9,2;8;6,3;7,1;5,9;5;4,3;5,5;7;4,2;2,3;3,4;3,2;2;2,9;5;7,5;4,3;3,2;3,5;2,5;2,1;2,6;2,7;2,8;2,9;2,9
Ecuador;13;16,4;16,3;48,4;31,2;28;23;29,5;58,2;75,6;48,5;48,8;54,3;45;27,4;22,9;24,4;30,6;36,1;52,2;96,1;37,7;12,5;7,9;2,7;2,2;3,3;2,3;8,4;5,2;3,6;4,5;5,1;2,7;3,6;4;1,7;0,4;-0,2;0,3;-0,3;0,5;2,4;1,4;1;1;1
Guatemala;10,7;11,4;4,9;6,7;3,2;19,2;32,8;10,8;10,3;13;38;35,1;10,2;13,4;12,5;8,4;11,1;9,2;6,6;5,2;6;7,3;8,1;5,6;7,6;9,1;6,6;6,8;11,4;1,9;3,9;6,2;3,8;4,3;3,4;2,4;4,4;4,4;3,8;3,7;2,4;2,9;3,6;3,8;3,9;3,9;4
Mexico;26,5;28;59,1;101,8;65,4;57,8;86,5;132;113,5;19,9;26,6;22,6;15,5;9,8;7;35,1;34,3;20,6;15,9;16,6;9,5;6,4;5;4,6;4,7;4;3,6;4;5,1;5,3;4,2;3,4;4,1;3,8;4;2,7;2,8;6;4,9;3,6;3,4;3,5;3,1;3;3;3;3
Paraguay;22,5;13,8;5,4;12,8;20,9;24,8;31,7;21,7;22,6;25,6;38,2;24,3;15,1;18,3;20,6;13,4;9,8;7;11,6;6,8;9;7,3;10,5;14,2;4,3;6,8;9,6;8,1;10,2;2,6;4,7;8,3;3,7;2,7;5;3,1;4,1;3,6;4;2,8;1,8;2,7;3,2;3,2;3,2;3,2;3,2
Peru;59,1;75,4;64,5;111,1;110,2;163,4;77,9;85,8;667;3398,3;7481,7;409,5;73,5;48,6;23,7;11,1;11,5;8,5;7,3;3,5;3,8;2;0,2;2,3;3,7;1,6;2;1,8;5,8;2,9;1,5;3,4;3,7;2,8;3,2;3,5;3,6;2,8;1,3;2,1;1,8;2;2;2;2;2;2
Uruguay;63,5;34;19;49,2;55,3;72,2;76,4;63,6;62,2;80,4;112,5;102;68,5;54,1;44,7;42,2;28,3;19,8;10,8;5,7;4,8;4,4;14;19,4;9,2;4,7;6,4;8,1;7,9;7,1;6,7;8,1;8,1;8,6;8,9;8,7;9,6;6,2;7,6;7,9;9,8;8,3;7,4;5,1;4;4;4
