;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Exchange Rates selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uruguay;Uruguay;Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Metadata by Country (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indicator;;;Scale;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;;;;;
;National Currency per SDR, End of Period;Rate;ENSE_XDC_XDR_RATE;Units;38,30;38,62;38,70;38,54;39,15;39,63;39,76;40,73;40,92;40,94;41,00;40,96;41,34;40,94;41,22;41,12;44,19;44,26;42,92;45,32;46,34;45,37;44,51;45,05;45,49;45,65;46,48;48,48;48,56;48,91;47,25;50,14;50,36;51,61;51,95;51,63;51,68;53,77;58,70;57,74;59,42;58,07;59,88;60,43;59,93;60,70;60,81;60,98;60,91;62,10;62,62;62,90;63,27;62,16;62,44;60,48;;;;;
;National Currency per SDR, Period Average;Rate;ENSA_XDC_XDR_RATE;Units;38,67;38,57;38,50;38,66;38,67;39,26;39,97;40,46;41,06;41,41;41,17;40,87;41,10;41,39;41,25;41,07;43,53;44,35;43,77;43,71;46,02;45,74;45,05;44,62;45,44;45,39;46,35;47,36;48,58;48,84;48,10;49,36;50,21;51,18;51,76;51,83;51,54;52,09;59,47;59,17;59,23;58,74;59,93;60,24;60,00;60,36;60,74;60,95;61,01;61,53;63,18;63,00;63,35;62,59;62,38;61,45;;;;;
;Domestic Currency per U.S. Dollar, End of Period;Rate;ENDE_XDC_USD_RATE;Units;28,19;28,52;28,52;28,11;28,28;28,48;28,24;28,82;28,95;29,15;28,97;28,76;28,37;28,31;28,35;28,60;31,19;31,47;30,55;32,34;33,21;32,83;32,18;32,39;32,48;32,65;33,48;34,98;35,25;35,18;34,35;36,64;36,94;37,42;37,84;37,34;37,53;39,15;43,01;42,26;43,31;42,21;42,38;42,59;42,58;43,00;42,52;42,34;42,28;43,15;44,19;43,80;43,79;43,58;43,70;42,46;;;;;
;Domestic Currency per U.S. Dollar, Period Average;Rate;ENDA_XDC_USD_RATE;Units;28,61;28,46;28,42;28,40;28,13;28,38;28,64;28,67;28,91;29,38;29,23;28,88;28,57;28,52;28,39;28,32;30,56;31,37;31,15;31,33;32,87;32,89;32,54;32,21;32,60;32,61;33,31;34,14;35,16;35,25;34,82;35,95;36,69;37,30;37,64;37,59;37,36;38,04;43,34;43,39;43,43;42,58;43,05;42,67;42,49;42,69;42,73;42,40;42,29;42,73;44,26;44,09;43,99;43,60;43,83;43,22;;;;;
;Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index;Index;ENEER_IX;Units;101,54;100,77;100,84;100,42;101,42;100,48;99,07;97,92;96,34;95,97;96,92;98,03;97,89;97,98;99,16;99,93;96,63;96,61;98,64;100,17;98,66;97,36;98,69;100,25;97,74;97,81;97,08;95,50;94,18;92,94;93,42;94,35;93,84;92,26;91,69;91,51;91,90;91,86;83,15;85,48;86,23;85,97;84,96;85,55;85,69;85,86;84,91;84,20;84,97;84,61;83,11;83,26;82,35;82,71;83,38;85,05;;;;;
;Real Effective Exchange Rate, based on Consumer Price Index;Index;EREER_IX;Units;117,28;116,76;117,11;116,37;117,37;116,28;114,70;113,84;112,18;111,93;112,99;113,31;115,76;116,35;117,69;118,18;114,66;114,92;117,42;119,38;117,13;115,01;116,69;117,81;116,99;117,52;116,28;114,04;112,38;111,20;112,19;113,73;112,92;111,18;110,16;109,18;111,37;111,69;102,25;107,36;108,93;108,00;107,01;107,76;108,21;108,49;107,07;105,12;106,94;106,72;104,50;104,59;103,35;103,77;104,55;106,78;;;;;
